;Aca_ova;Als_aur;Ari_chi;Aza_mic;Ber_dar;Ber_mic;Cir_vul;Cod_les;Das_dia;Emb_coc;Fuc_mag;Gau_muc;Ger_mag;Lum_api;May_boa;Mut_spi;Osm_chi;Pha_sec;Rib_mag;Ros_rub;Sch_pat;sp_1;sp_2;Tri_cor
Bom_dah;0;2;0;0;5;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Bom_ter;0;60;0;0;78;0;2;0;0;3;0;5;0;5;0;27;0;0;0;29;0;0;0;0
Col_sem;0;1;91;0;0;34;0;0;0;0;0;6;0;0;0;0;0;0;4;0;19;0;0;0
Mar_bca;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mar_rojmarr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Nar_culo_neg;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0
Sep_sep;0;0;0;0;2;0;0;0;0;60;34;0;0;0;0;0;0;0;0;0;0;0;0;63
sp10;0;0;0;0;90;40;0;0;0;2;0;0;0;0;0;14;0;0;43;0;0;0;0;0
sp100;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0
sp101;0;0;7;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;11;0;0;0
sp105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
sp108;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
sp109;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
sp11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
sp110;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
sp111;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
sp14;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0
sp15;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp16;0;0;55;0;18;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;6;0;0;0
sp18;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;5;0;0;0
sp19;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
sp2;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
sp20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
sp22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
sp26;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;9;0;1;0;7;9;0;0;0
sp27;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
sp28;0;0;25;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
sp3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
sp30;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0
sp31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
sp37;0;0;7;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp38;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
sp4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
sp40;0;0;0;0;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp41;0;1;0;0;0;0;0;0;1;0;0;0;2;6;0;0;2;0;0;0;0;7;1;0
sp42;0;0;0;0;0;0;0;2;7;4;0;0;0;4;0;3;0;0;0;2;0;0;0;0
sp43;0;0;4;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
sp44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
sp46;0;0;46;0;0;0;0;0;0;0;0;0;0;6;0;7;0;0;0;0;74;0;0;1
sp47;0;17;8;0;1;0;0;0;0;34;0;0;3;0;0;0;0;0;0;0;7;0;0;0
sp49;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
sp51;0;2;0;0;0;0;0;0;11;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
sp53;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp54;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4;0;0;0;0;0;0;0;0
sp55;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
sp57;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
sp58;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;3;0;0;0;0;0;0;0;0
sp59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
sp60;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
sp61;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp64;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
sp65;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp70;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
sp71;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
sp73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
sp77;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
sp9;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
sp90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;11;0;0;0
sp91;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0
sp92;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp93;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sp97;0;0;0;0;0;0;0;0;0;9;0;2;0;0;0;0;0;10;0;0;0;0;0;0
sp99;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;6;0;0;0
Ves_ger;0;2;3;0;0;0;1;0;1;0;3;0;0;5;0;6;0;0;0;0;0;0;0;15
